"Countries","AT","CCAMLR","Colonization.Status","InNATO","IndepEstYr","Age","Continent","GDP","GDPperCap","Edu_Per","Mil_Per","Mil_Total","NatResRents","Edu_Total"
"Mozambique","Neither","Neither","Colonized","No",1975,50,"Africa",18883528581.3734,578.251663751351,6.17059556957808,1.99330115632931,404399185.336049,13.3857064922018,1165226178.02224
"Myanmar","Neither","Neither","Colonized","No",1948,77,"Asia",66757619000,1242.7213439951,NA,4.07092298980473,2498229137.93854,6.67075903857599,NA
"Namibia","Neither","Member","Colonized","No",1990,35,"Africa",12408271449.2244,4349.79908493314,9.33497293762905,2.91089959085182,365631268.764472,2.98043721665714,1158308781.81265
"Nauru","Neither","Neither","Colonized","No",1968,57,"Oceania",152373433.909474,12911.9086441381,5.84108959318592,NA,NA,0,8900268.79086631
"Nepal","Neither","Neither","Colonized","No",1923,102,"Asia",41047772331.0994,1382.33055769304,4.13645081690396,1.15743842490309,436462923.87932,0.510783905458182,1697920913.91064
"Netherlands","CP","Member","Colonizer","Yes",1579,446,"Europe",1054472123449.6,60141.9880911492,5.29139995574951,1.40607718904592,14395695364.2384,0.212140357273653,55796337473.603
"New Caledonia","Neither","Neither","Colonized","No",1998,27,"Oceania",9623318718.31459,33516.363085906,NA,NA,NA,8.40229149864389,NA
"New Zealand","CP","Member","Colonizer","Partner",1840,185,"Oceania",253977931814.967,49099.7090423358,5.3770899772644,1.19404695449297,2905571074.96464,1.38329038795723,13656621916.086
"Nicaragua","Neither","Neither","Colonized","No",1838,187,"North America",15634572502.2294,2322.89053964583,3.94359481736507,0.549759399022683,84214047.8636538,2.74946879007258,616564190.915102
"Niger","Neither","Neither","Colonized","No",1960,65,"Africa",15433852712.2963,609.745147574878,3.82041310443918,1.73360752172491,242507046.323759,5.98866725379697,589636931.54041
"Nigeria","Neither","Neither","Colonized","No",1960,65,"Africa",598586817819.073,2787.48779224428,0.354077172537928,0.650166691789414,3101259562.89729,6.8138971315692,2119459279.71853
"North Macedonia","Neither","Neither","Colonized","Yes",1991,34,"Europe",14000283827.0154,7620.80296977508,NA,1.58059754666542,220214187.362615,0.140942196889422,NA
"Northern Mariana Islands","Neither","Neither","Colonized","No",1978,47,"Oceania",9.14e+08,19455.50139424,NA,NA,NA,NA,NA
"Norway","CP","Member","Neither","Yes",872,1153,"Europe",483592648313.301,87497.2179649556,6.9602198600769,1.81314737150102,8697821939.02253,7.11478164336819,33659111549.7742
"Oman","Neither","Neither","Colonized","No",1951,74,"Asia",106174708036.51,20285.2272897377,5.63039994239807,5.59419531945284,5851755526.658,24.0491214168,5978060700.12898
"Pakistan","NonCP","Acceding","Colonized","Partner",1947,78,"Asia",348516647445.148,1455.31922370186,1.95979475497283,3.17683202352522,10241024484.5759,1.27974330144988,6830210976.83718
"Palau","Neither","Neither","Colonized","No",1994,31,"Oceania",252757659.91211,14218.9861149205,3.52369104827168,NA,NA,0,8906399.03614399
"Panama","Neither","Acceding","Colonized","No",1903,122,"North America",76479304470.9375,17378.6070017557,3.54489505290985,NA,0,2.09994636284157,2711111080.69013
"Papua New Guinea","NonCP","Neither","Colonized","No",1975,50,"Oceania",30816367066.9594,2966.06830432055,0.748053855309068,0.336863761991679,93461981.5668203,19.664203361461,230523021.910584
"Paraguay","Neither","Neither","Neither","No",1811,214,"South America",41952910858.0846,6205.62595379319,3.41070008277893,0.922071975751778,372601369.313781,1.51482456698277,1430887965.36486
"Peru","CP","Acceding","Neither","No",1821,204,"South America",246065570308.155,7350.63034300417,4.24538993835449,1.1644987739258,2657501774.59326,8.35216136132657,10446442963.617
"Philippines","Neither","Neither","Colonized","No",1946,79,"Asia",404353369604.631,3548.06930572116,3.85829051308063,1.31630135538263,5321933197.64622,1.3683730930875,15601127698.7773
"Poland","CP","Member","Colonized","Yes",1918,107,"Europe",695607470875.276,18891.2121169279,4.61998987197876,2.26305371895405,15341313422.5328,0.782856368608147,32136994703.1654
"Portugal","NonCP","Neither","Colonizer","Yes",1143,882,"Europe",256898677175.024,24711.4510062111,4.77341985702515,1.46642848168082,3882450331.12583,0.245849079560177,12262852468.7075
"Qatar","Neither","Neither","Colonized","Partner",1971,54,"Asia",217308516483.516,76688.6941743178,3.23368000984192,6.47628038252737,13502747252.7472,23.7578733589499,7027062057.21149
"Romania","NonCP","Neither","Colonized","Yes",1877,148,"Europe",295319437556.988,15503.551804598,3.31562995910644,1.84762902286434,5300529355.14918,0.82668005931238,9791699746.70413
"Russian Federation","CP","Member","Colonizer","No",882,1143,"Europe",2071505725030.58,14159.3876953125,4.03522309853707,4.60728884010235,102366636459.68,13.049532438188,83589877503.9518
"Rwanda","Neither","Neither","Colonized","No",1962,63,"Africa",13316161002.3912,975.469323735369,4.74213981628418,1.33346574344023,175924380.585353,4.06102739601336,631470972.8949
"Samoa","Neither","Neither","Colonized","No",1962,63,"Oceania",889554711.842341,4132.44717734444,5.45616637544294,NA,NA,0.290958120130858,48535585.0787101
"San Marino","NonCP","Neither","Neither","No",301,1724,"Europe",1842432325.06564,54183.6607861,3.10892009735107,NA,NA,0,57279748.8340583
"Sao Tome and Principe","Neither","Neither","Colonized","No",1975,50,"Africa",540809499.189348,2389.73729784737,5.11161637542602,NA,NA,1.93229267877134,27644106.9204222
"Saudi Arabia","NonCP","Neither","Colonized","No",1932,93,"Asia",1218584533333.33,35121.6628687742,4.48087978363037,7.28424248969983,7.092e+10,21.4418344235645,54603308000.5797
"Senegal","Neither","Neither","Colonized","No",1959,66,"Africa",27783332222.6759,1598.10676952274,5.81960487365722,1.52411336065101,448993705.877196,3.63561451040444,1616880156.09522
"Serbia","Neither","Neither","Both","Partner",1918,107,"Europe",66809895701.2152,10024.8191112596,3.14615988731384,2.29536613396667,1796879440.10484,1.34696308708142,2101946139.30785
"Seychelles","Neither","Neither","Colonized","No",1976,49,"Africa",2018346588.73752,16836.6721895387,4.32057398798175,1.36712279790406,26860869.6918082,0.126065654138136,87204157.7003103
"Sierra Leone","Neither","Neither","Colonized","No",1961,64,"Africa",6971127235.3123,845.277557920549,5.1273250579834,0.582258374348818,37826350.3837256,8.63339804140604,357432353.560073
"Singapore","Neither","Neither","Colonized","No",1965,60,"Asia",505439514078.019,85412.230345235,2.47478008270264,2.80306272990798,11996550573.4536,0.000211530688877943,12508516424.5118
"Sint Maarten (Dutch part)","Neither","Neither","Colonized","No",2010,15,"North America",1592564639.32961,37793.1284399157,4.09892170555004,NA,NA,NA,65277977.6763961
"Slovak Republic","NonCP","Neither","Colonized","Yes",1992,33,"Europe",120511265913.343,22123.3342114545,4.71766996383667,1.83861085562872,2085664762.25736,0.222691659356431,5685323795.03312
"Slovenia","NonCP","Neither","Colonized","Yes",1991,34,"Europe",61540813361.8556,29192.8401933019,5.39167022705078,1.29505522763484,775156293.385613,0.201747737020545,3318077711.51606
"Solomon Islands","Neither","Neither","Colonized","No",1978,47,"Oceania",1536143427.82958,1933.55538435227,8.40985267055572,NA,NA,18.7944687066431,129187399.088892
