Countries,AT,CCAMLR,Colonization.Status,InNATO,InBRICS,IndepEstYr,Age,Continent,GDP,GDPperCap,Edu_Per,Mil_Per,Mil_Total,NatResRents,Edu_Total
Indonesia,Neither,Neither,Colonized,No,Yes,1945,80,Asia,1.3191E+12,4730.834848,1.02407486,0.779216788,10133923494,3.797853704,13508583597
"Iran, Islamic Rep.",Neither,Neither,Neither,No,Yes,1935,90,Asia,4.22662E+11,4721.204371,2.82443291,2.177010276,7390861136,26.84361595,11937812011
Iraq,Neither,Neither,Colonized,Partner,No,1921,104,Asia,2.68881E+11,5965.318351,NA,2.262694869,5518874505,35.43143544,NA
Ireland,Neither,Neither,Colonized,Partner,No,1919,106,Europe,5.48342E+11,105190.686,3.048129916,0.238637693,1267738884,0.068875459,16714170284
Israel,Neither,Neither,Colonizer,Partner,No,1948,77,Asia,5.12185E+11,52270.90402,6.167270184,5.276264088,24340979541,0.356932713,31587810526
Italy,CP,Member,Colonizer,Yes,No,1861,164,Europe,2.17921E+12,36852.54254,4.171189785,1.651642526,36232722327,0.083989836,90898892046
Jamaica,Neither,Neither,Colonized,No,No,1962,63,North America,18813516805,6626.475024,5.513830185,1.289999447,230360218.4,0.390042294,1037345368
Japan,CP,Member,Colonizer,Partner,No,400,1625,Asia,4.26246E+12,34065.6439,3.321464896,1.063840502,51396536059,0.072150832,1.41576E+11
Jordan,Neither,Neither,Colonized,Partner,No,1946,79,Asia,48764963380,4332.251599,3.233560085,4.798376906,2334573239,0.064670004,1576844391
Kazakhstan,NonCP,Neither,Colonized,Partner,No,1991,34,Asia,2.25496E+11,11255.33964,4.415948889,0.51743585,1208967906,19.84150626,9957802631
Kenya,Neither,Neither,Colonized,No,No,1963,62,Africa,1.09704E+11,2061.356221,4.511018018,1.0102052,1155179523,1.248370273,4948751820
Kiribati,Neither,Neither,Colonized,No,No,1979,46,Oceania,285259881.1,2177.701258,15.50820345,NA,NA,0.050247026,44238682.72
"Korea, Dem. People's Rep.",NonCP,Neither,Colonized,No,No,1945,80,Asia,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.",CP,Member,Colonized,Partner,No,1945,80,Asia,1.8448E+12,35674.096,4.555900097,2.599257711,47571318597,0.081541749,84047287557
Kosovo,Neither,Neither,Colonized,No,No,2008,17,Europe,9413408574,5290.950065,NA,1.150046146,107601580.2,0.667264413,NA
Kuwait,Neither,Neither,Colonized,Partner,No,1961,64,Asia,1.60227E+11,34018.63426,6.435926679,4.840932474,7792925566,29.2848673,10312109813
Kyrgyz Republic,Neither,Neither,Colonized,Partner,No,1991,34,Asia,12134931018,1739.720183,6.280053413,2.966203737,352132809.8,9.017060559,762080149.6
Lao PDR,Neither,Neither,Colonized,No,No,1949,76,Asia,16502933121,2123.979094,1.660163087,NA,NA,4.100114038,273975603.9
Latvia,Neither,Neither,Colonized,Yes,No,1991,34,Europe,38183326785,20261.88878,4.767749786,2.254619311,856142771.8,1.219853435,1820485481
Lebanon,Neither,Neither,Colonized,No,No,1944,81,Asia,22062181753,3849.866183,1.417838944,1.624092346,286217317.8,0.002500613,312806204.7
Lesotho,Neither,Neither,Colonized,No,No,1966,59,Africa,2271759455,971.9077182,6.956322108,1.567450144,36295977,4.436683428,158030905.2
Liberia,Neither,Neither,Neither,No,No,1847,178,Africa,4001047000,744.6171752,2.271310815,0.847050442,33825000,19.69088277,90876213.23
Libya,Neither,Neither,Colonized,No,No,1951,74,Africa,44027664915,6026.515187,NA,4.816855887,1394273668,36.25684603,NA
Liechtenstein,Neither,Neither,Neither,No,No,1866,159,Europe,7669729292,194999.9168,NA,NA,NA,0.001471467,NA
Lithuania,Neither,Neither,Colonized,Yes,No,1990,35,Europe,71033884500,25085.78406,4.252850056,2.444575879,1734372765,0.298454608,3020964597
Luxembourg,Neither,Neither,Neither,Yes,No,1835,190,Europe,86386759695,133230.6192,3.744519949,0.625325775,509908559.2,0.005707483,3234769450
Madagascar,Neither,Neither,Colonized,No,No,1960,65,Africa,15325603273,503.5145335,3.132901826,0.673153896,99185920.03,5.595346945,480136104.7
Malawi,Neither,Neither,Colonized,No,No,1964,61,Africa,12378119199,604.2697404,2.748883711,0.933234953,117546956.7,4.160892958,340260102.4
Malaysia,NonCP,Neither,Colonized,No,No,1957,68,Asia,3.99949E+11,11386.03956,3.713285089,0.982646998,3675489012,5.731765834,14851262128
Maldives,Neither,Neither,Colonized,No,No,1965,60,Asia,6177123352,11786.01915,4.920253451,NA,NA,0.004362946,303930124.9
Mali,Neither,Neither,Colonized,No,No,1960,65,Africa,22999245263,1027.273454,3.854376142,3.399558214,652883353.3,13.94377965,886477422.2
Malta,Neither,Neither,Colonized,Partner,No,1964,61,Europe,19739875611,38096.83607,4.82111001,0.451123319,87950567.64,0,951681119.1
Marshall Islands,Neither,Neither,Colonized,No,No,1986,39,Oceania,261245544.4,6455.660622,13.83503745,NA,NA,0,36143418.92
Mauritania,Neither,Neither,Colonized,Partner,No,1960,65,Africa,9557966698,1960.352401,1.891970038,2.260480476,230935492.9,6.943730563,180833866.2
Mauritius,Neither,Acceding,Colonized,No,No,1968,57,Africa,12936444123,10246.50175,4.574790001,0.149590858,19936715.86,0.002672615,591815152.2
Mexico,Neither,Neither,Neither,No,No,1810,215,North America,1.46693E+12,11405.79405,4.238239765,0.685819352,10065268403,2.601453586,62172210814
"Micronesia, Fed. Sts.",Neither,Neither,Colonized,No,No,1986,39,Asia,415956900,3710.124516,11.55913978,NA,NA,0.018960414,48081039.52
Moldova,Neither,Neither,Colonized,Partner,No,1991,34,Europe,14525337524,5744.296184,6.330699921,0.385463276,52330948.68,0.240940951,919555531.1
Monaco,NonCP,Neither,Colonized,No,No,1861,164,Europe,8800430486,226052.0019,1.419260025,NA,NA,0,124900991.9
Mongolia,NonCP,Neither,Colonized,Partner,No,1912,113,Asia,17146471714,4993.514875,4.434974909,0.619505073,97194681.71,23.30545457,760441718.3
Montenegro,Neither,Neither,Colonized,Yes,No,2006,19,Europe,6251215144,10024.54356,NA,1.573037084,98011519.01,0.680100333,NA
Morocco,Neither,Neither,Colonized,Partner,No,1956,69,Africa,1.42022E+11,3785.936279,5.966608014,3.749756181,5184928400,0.343915585,8473899521
Mozambique,Neither,Neither,Colonized,No,No,1975,50,Africa,18883528581,578.2516638,6.17059557,1.993301156,404399185.3,13.38570649,1165226178
Myanmar,Neither,Neither,Colonized,No,No,1948,77,Asia,66757619000,1242.721344,NA,4.07092299,2498229138,6.670759039,NA
Namibia,Neither,Member,Colonized,No,No,1990,35,Africa,12408271449,4349.799085,9.334972938,2.910899591,365631268.8,2.980437217,1158308782
Nauru,Neither,Neither,Colonized,No,No,1968,57,Oceania,152373433.9,12911.90864,5.841089593,NA,NA,0,8900268.791
Nepal,Neither,Neither,Neither,No,No,1923,102,Asia,41047772331,1382.330558,4.136450817,1.157438425,436462923.9,0.510783905,1697920914
Netherlands,CP,Member,Colonizer,Yes,No,1579,446,Europe,1.05447E+12,60141.98809,5.291399956,1.406077189,14395695364,0.212140357,55796337474
New Caledonia,Neither,Neither,Colonized,No,No,1998,27,Oceania,9623318718,33516.36309,NA,NA,NA,8.402291499,NA
New Zealand,CP,Member,Colonizer,Partner,No,1840,185,Oceania,2.53978E+11,49099.70904,5.377089977,1.194046954,2905571075,1.383290388,13656621916
Nicaragua,Neither,Neither,Neither,No,No,1838,187,North America,15634572502,2322.89054,3.943594817,0.549759399,84214047.86,2.74946879,616564190.9
Niger,Neither,Neither,Colonized,No,No,1960,65,Africa,15433852712,609.7451476,3.820413104,1.733607522,242507046.3,5.988667254,589636931.5
Nigeria,Neither,Neither,Colonized,No,No,1960,65,Africa,5.98587E+11,2787.487792,0.354077173,0.650166692,3101259563,6.813897132,2119459280
North Macedonia,Neither,Neither,Colonized,Yes,No,1991,34,Europe,14000283827,7620.80297,NA,1.580597547,220214187.4,0.140942197,NA
Northern Mariana Islands,Neither,Neither,Colonized,No,No,1978,47,Oceania,9.14e+08,19455.50139,NA,NA,NA,NA,NA
Norway,CP,Member,Neither,Yes,No,872,1153,Europe,4.83593E+11,87497.21796,6.96021986,1.813147372,8697821939,7.114781643,33659111550
Oman,Neither,Neither,Colonized,No,No,1951,74,Asia,1.06175E+11,20285.22729,5.630399942,5.594195319,5851755527,24.04912142,5978060700
Pakistan,NonCP,Acceding,Colonized,Partner,No,1947,78,Asia,3.48517E+11,1455.319224,1.959794755,3.176832024,10241024485,1.279743301,6830210977
Palau,Neither,Neither,Colonized,No,No,1994,31,Oceania,252757659.9,14218.98611,3.523691048,NA,NA,0,8906399.036
Panama,Neither,Acceding,Colonized,No,No,1903,122,North America,76479304471,17378.607,3.544895053,NA,0,2.099946363,2711111081
Papua New Guinea,NonCP,Neither,Colonized,No,No,1975,50,Oceania,30816367067,2966.068304,0.748053855,0.336863762,93461981.57,19.66420336,230523021.9
Paraguay,Neither,Neither,Neither,No,No,1811,214,South America,41952910858,6205.625954,3.410700083,0.922071976,372601369.3,1.514824567,1430887965
Peru,CP,Acceding,Neither,No,No,1821,204,South America,2.46066E+11,7350.630343,4.245389938,1.164498774,2657501775,8.352161361,10446442964
Philippines,Neither,Neither,Colonized,No,No,1946,79,Asia,4.04353E+11,3548.069306,3.858290513,1.316301355,5321933198,1.368373093,15601127699
Poland,CP,Member,Colonized,Yes,No,1918,107,Europe,6.95607E+11,18891.21212,4.619989872,2.263053719,15341313423,0.782856369,32136994703
Portugal,NonCP,Neither,Colonizer,Yes,No,1143,882,Europe,2.56899E+11,24711.45101,4.773419857,1.466428482,3882450331,0.24584908,12262852469
Qatar,Neither,Neither,Colonized,Partner,No,1971,54,Asia,2.17309E+11,76688.69417,3.23368001,6.476280383,13502747253,23.75787336,7027062057
Romania,NonCP,Neither,Colonized,Yes,No,1877,148,Europe,2.95319E+11,15503.5518,3.315629959,1.847629023,5300529355,0.826680059,9791699747
Russian Federation,CP,Member,Colonizer,No,Yes,882,1143,Europe,2.07151E+12,14159.3877,4.035223099,4.60728884,1.02367E+11,13.04953244,83589877504
Rwanda,Neither,Neither,Colonized,No,No,1962,63,Africa,13316161002,975.4693237,4.742139816,1.333465743,175924380.6,4.061027396,631470972.9
Samoa,Neither,Neither,Colonized,No,No,1962,63,Oceania,889554711.8,4132.447177,5.456166375,NA,NA,0.29095812,48535585.08
San Marino,NonCP,Neither,Neither,No,No,301,1724,Europe,1842432325,54183.66079,3.108920097,NA,NA,0,57279748.83
Sao Tome and Principe,Neither,Neither,Colonized,No,No,1975,50,Africa,540809499.2,2389.737298,5.111616375,NA,NA,1.932292679,27644106.92
Saudi Arabia,NonCP,Neither,Colonized,No,Yes,1932,93,Asia,1.21858E+12,35121.66287,4.480879784,7.28424249,7.092e+10,21.44183442,54603308001
Senegal,Neither,Neither,Colonized,No,No,1959,66,Africa,27783332223,1598.10677,5.819604874,1.524113361,448993705.9,3.63561451,1616880156
Serbia,Neither,Neither,Both,Partner,No,1918,107,Europe,66809895701,10024.81911,3.146159887,2.295366134,1796879440,1.346963087,2101946139
Seychelles,Neither,Neither,Colonized,No,No,1976,49,Africa,2018346589,16836.67219,4.320573988,1.367122798,26860869.69,0.126065654,87204157.7
Sierra Leone,Neither,Neither,Colonized,No,No,1961,64,Africa,6971127235,845.2775579,5.127325058,0.582258374,37826350.38,8.633398041,357432353.6
Singapore,Neither,Neither,Colonized,No,No,1965,60,Asia,5.0544E+11,85412.23035,2.474780083,2.80306273,11996550573,0.000211531,12508516425
Sint Maarten (Dutch part),Neither,Neither,Colonized,No,No,2010,15,North America,1592564639,37793.12844,4.098921706,NA,NA,NA,65277977.68
Slovak Republic,NonCP,Neither,Colonized,Yes,No,1992,33,Europe,1.20511E+11,22123.33421,4.717669964,1.838610856,2085664762,0.222691659,5685323795
Slovenia,NonCP,Neither,Colonized,Yes,No,1991,34,Europe,61540813362,29192.84019,5.391670227,1.295055228,775156293.4,0.201747737,3318077712
Solomon Islands,Neither,Neither,Colonized,No,No,1978,47,Oceania,1536143428,1933.555384,8.409852671,NA,NA,18.79446871,129187399.1
Somalia,Neither,Neither,Colonized,No,No,1960,65,Africa,1.0203e+10,573.1411658,6.98491559873e-06,1.170698018,118661000,11.34548915,712.6709385
South Africa,CP,Member,Both,No,Yes,1910,115,Africa,4.01145E+11,6267.186814,6.155990124,0.798457056,3231017731,5.673176851,24694446482
South Sudan,Neither,Neither,Colonized,No,No,2011,14,Africa,NA,NA,NA,1.86635873,520445647.2,NA,NA
Spain,CP,Member,Colonizer,Yes,No,1492,533,Europe,1.46124E+12,30799.47759,4.813169956,1.405546913,20306570633,0.076651313,70332200603
Sri Lanka,Neither,Neither,Colonized,No,No,1948,77,Asia,84335574582,3847.601377,1.532214859,1.640030796,1333312353,0.084142298,1292202205
St. Kitts and Nevis,Neither,Neither,Colonized,No,No,1983,42,North America,981429629.6,21011.57442,3.301474036,NA,NA,0,32401644.4
St. Lucia,Neither,Neither,Colonized,No,No,1979,46,North America,2342714815,13103.82431,3.847000187,NA,NA,0.016394829,90124243.3
St. Martin (French part),Neither,Neither,Colonized,No,No,2010,15,North America,649206262.8,21668.37765,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,Neither,Neither,Colonized,No,No,1979,46,North America,989188888.9,9693.558678,6.458269171,NA,NA,0.022487803,63884481.05
Sudan,Neither,Neither,Colonized,No,No,1956,69,Africa,39898289821,797.2834473,NA,0.950609735,654761886.6,11.02143203,NA
Suriname,Neither,Neither,Colonized,No,No,1975,50,South America,3472693412,5521.976021,3.783079075,NA,NA,7.096975366,131374737.8
Sweden,CP,Member,Colonizer,Yes,No,1523,502,Europe,5.78991E+11,54950.28347,7.602240086,1.331476619,7722479441,0.789439745,44016279451
Switzerland,NonCP,Neither,Neither,Partner,No,1291,734,Europe,8.28509E+11,94394.51068,5.025350094,0.705659022,5731416400,0.008567628,41635474138
Syrian Arab Republic,Neither,Neither,Colonized,No,No,1946,79,Asia,14353205678,663.6142457,NA,NA,NA,6.37482598,NA
Tajikistan,Neither,Neither,Colonized,Partner,No,1991,34,Asia,10713525200,1052.179495,5.266732999,1.847749758,203942083.3,7.09074124,564252767.1
Tanzania,Neither,Neither,Colonized,No,No,1961,64,Africa,75749121843,1186.716919,3.230972559,1.154617474,874979057.7,5.272702075,2447433341
Thailand,Neither,Neither,Neither,No,No,1238,787,Asia,5.06195E+11,7057.207548,2.796997256,1.241052696,6030950057,1.463297463,14158250998
Timor-Leste,Neither,Neither,Colonized,No,No,1975,50,Asia,2162619241,1630.869385,3.652873604,1.777901063,44311000,34.56152146,78997747.41
Togo,Neither,Neither,Colonized,No,No,1960,65,Africa,8646453099,962.0751875,4.114049513,2.385512866,198773240.6,6.29792996,355719361.6
Tonga,Neither,Neither,Colonized,No,No,1970,55,Oceania,537910454.1,5110.410564,5.162544372,NA,NA,0.039898269,27769865.88
Trinidad and Tobago,Neither,Neither,Colonized,No,No,1962,63,North America,25036993423,18308.45363,3.138779998,0.859057055,217163250.6,6.870761662,785856141.6
Tunisia,Neither,Neither,Colonized,Partner,No,1956,69,Africa,47073234359,3906.939263,6.769489085,2.571240112,1208204190,1.85820159,3186617462
Turkiye,NonCP,Neither,Colonizer,Yes,No,1923,102,Asia,9.26097E+11,10897.83979,3.537879944,1.858883211,15782990906,0.612125555,32764216896
Turkmenistan,Neither,Neither,Colonized,Partner,No,1991,34,Asia,42208726138,5972.723566,3.76267004,NA,NA,NA,1588175093
Tuvalu,Neither,Neither,Colonized,No,No,1978,47,Oceania,59631193.9,5908.204626,14.15523443,NA,NA,0,8440935.291
Uganda,Neither,Neither,Colonized,No,No,1962,63,Africa,45565333211,963.0673141,2.572221813,1.881597983,984759731.7,7.51950537,1172041440
Ukraine,CP,Member,Colonized,Partner,No,1991,34,Europe,1.81222E+11,4775.945801,5.261204958,25.64241047,41183927473,4.30301493,9534435483
United Arab Emirates,NonCP,Neither,Colonized,Partner,Yes,1971,54,Asia,5.11403E+11,49850.68722,3.939110041,NA,NA,14.80316469,20144742823
United Kingdom,CP,Member,Colonizer,Yes,No,927,1098,Europe,3.19456E+12,47691.37688,5.673089981,2.163040305,65148595798,0.436259654,1.8123E+11
United States,CP,Member,Colonizer,Yes,No,1776,249,North America,2.56048E+13,76657.24888,5.40784502,3.404519916,8.60692E+11,0.804725101,1.38467E+12
Uruguay,CP,Member,Neither,No,No,1825,200,South America,70594110920,20818.61461,4.515854836,2.115612373,1297897837,2.110582649,3187927572
Uzbekistan,Neither,Neither,Colonized,Partner,No,1991,34,Asia,90095926567,2578.666894,4.837495795,NA,NA,14.77436939,4358386659
Vanuatu,Neither,Acceding,Colonized,No,No,1980,45,Oceania,1055031361,3370.21192,7.636950016,NA,NA,0.598788685,80572217.66
"Venezuela, RB",NonCP,Neither,Neither,No,No,1811,214,South America,89013255585,3155.042071,NA,0.575295643,2591576.733,NA,NA
Viet Nam,Neither,Neither,Colonized,No,No,1954,71,Asia,4.13445E+11,4147.697772,2.945174888,NA,NA,2.178949523,12176685109
"Yemen, Rep.",Neither,Neither,Colonized,No,No,1967,58,Asia,NA,NA,NA,NA,NA,NA,NA
Zambia,Neither,Neither,Colonized,No,No,1964,61,Africa,25303185342,1187.109434,3.801290963,1.165721967,326078759.6,25.74318938,961847697.7
Zimbabwe,Neither,Neither,Colonized,No,No,1980,45,Africa,40757561709,2497.203322,0.384771297,0.974989311,332717337.3,5.572559853,156823398.9
